"","Dim1","Dim2","Dim3","Dim4"
"50 Cent",0.0987119338807453,-0.348634860329893,0.265440349955098,0.770950619677103
"Aaliyah",0.0987119338807801,-0.348634860329945,0.26544034995512,0.770950619677164
"Aasif Mandvi",0.0987119338808001,-0.348634860329982,0.2654403499551,0.770950619677245
"Abbie Cornish",0.0987119338807948,-0.348634860329964,0.265440349955098,0.77095061967721
"Adam Arkin",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Adam Baldwin",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Adam Garcia",0.0518413774051972,-0.509586775165811,-1.51193021643199,-0.0258128205617797
"Adam Goldberg",-0.594811762111212,1.52406318773411,-0.852177870118119,-1.79828231220762
"Adam LeFevre",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Adam Sandler",0.144636379853553,-0.376189931753268,0.3758041290881,0.409999605487227
"Adam Scott",0.385752208325143,0.370732194213819,0.167747378044687,0.640274182823957
"Adrian Martinez",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Adriana Barraza",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Ahna O'Reilly",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Aidan Quinn",0.028406099167398,-0.590062732583734,-2.40061549962554,-0.424194540681278
"Aidan Turner",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Aimee Garcia",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Aisha Tyler",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Aksel Hennie",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Al Pacino",0.338235325672793,0.237151883208117,-0.413854702760965,0.389205973505765
"Alan Rickman",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alan Ruck",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Albert Brooks",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Albert Finney",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Alden Ehrenreich",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Aldis Hodge",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Alessandro Nivola",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alex Gibney",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Alex Huszar",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Alex Kendrick",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alex Pettyfer",0.199178048719156,-0.522360209216719,-0.491963408304762,-0.717770284198154
"Alex Veadov",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alexa PenaVega",-0.697394859507006,0.0234340682900029,0.279453162282212,0.515534089200584
"Alexander Gould",0.420183055690095,-0.541520360293079,1.03798680388608,-1.75570647965271
"Alexander Skarsgård",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alexia Fast",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alexis Arquette",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alexis Dziena",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alfre Woodard",-0.83007932507164,0.085445556393331,0.281788631003397,0.472964667454479
"Alia Shawkat",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alice Braga",0.313026015086995,-0.477225193638708,0.780471319242424,-0.913487446542738
"Alice Greczyn",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alice Olivia Clarke",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alicia Goranson",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Alicia Witt",-1.29447495454786,0.30248576475498,0.289962771527543,0.32397169134311
"Alicja Bachleda",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Alison Brie",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Alison Lohman",1.24687303165818,2.52883335784518,-0.12533153768656,0.248244872264178
"Ally Walker",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alona Tal",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alun Armstrong",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Alyson Hannigan",-0.605545967561492,-0.0316760745566008,0.500180720548207,-0.206367939179396
"Alyson Stoner",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Amanda Detmer",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Amanda Schull",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Amber Stevens West",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Amber Valletta",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"America Ferrera",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"America Olivo",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Amir Talai",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Amy Poehler",-1.31205141322621,0.242128796691538,-0.376551190867617,0.025185401253486
"Amy Schumer",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ana de la Reguera",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Anamaria Marinca",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Andrea Corr",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Andrew Fiscella",-2.68766184297651,0.953606389839926,0.314485193099984,-0.123007236990998
"Andrew Garfield",1.07846674693859,1.44108695181139,0.519956727481316,-1.2619579448181
"Andrew Wilson",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Andy Dick",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Angelina Jolie Pitt",0.0886682432074531,-0.383124556366219,-0.115424771413561,0.60021559676886
"Angell Conwell",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Angus T. Jones",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Anika Noni Rose",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Anil Kapoor",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Anjelica Huston",0.259447494785445,-0.445077610311523,0.651713576920594,-0.492377929987749
"Anna Friel",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Anna Kendrick",0.205868974483896,-0.412930026984337,0.522955834598763,-0.0712684134327603
"Annabella Sciorra",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Anne Hathaway",-0.520482238754161,-0.0592479158477681,0.276339203987298,0.572293318195392
"Anthony Hopkins",0.264535820506025,0.0569098082733219,-0.204840840386791,0.506665864635442
"Antony Starr",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Anwar Congo",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Archie Panjabi",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ari Folman",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ari Graynor",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ariana Richards",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Arliss Howard",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Armando Riesco",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Armin Mueller-Stahl",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Ashley Rickards",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Ashley Williams",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Augustus Prew",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
