"","Dim1","Dim2","Dim3","Dim4"
"Aaron Schneider",0.145032346683566,0.121618220948398,-0.499420716344494,0.6092676271651
"Aaron Seltzer",3.11023807366162,-3.7711589869538,2.51596764631995,-0.793033921234607
"Abel Ferrara",0.145032346683584,0.121618220948403,-0.499420716344497,0.609267627165202
"Adam Goldberg",-0.0409159725664288,2.76814250363971,3.65239256408153,-0.263775564336195
"Adam McKay",-0.00359433653421689,0.166542280663157,-0.627574758884685,-1.08004976484072
"Adam Rapp",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Adam Rifkin",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Adam Shankman",0.459948056349152,-0.348132407646354,-0.170554936963971,-0.199514088387052
"Adrian Lyne",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Adrienne Shelly",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Agnieszka Holland",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Agnieszka Wojtowicz-Vosloo",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Aki Kaurismäki",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Akiva Goldsman",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Akiva Schaffer",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alan Cohn",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alan J. Pakula",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alan Parker",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Alan Poul",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alan Rudolph",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Alan Shapiro",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alan Taylor",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Albert Brooks",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Albert Hughes",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Alejandro Agresti",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alejandro Amenábar",-3.03467536444327,-1.57702075154418,0.693445279691745,-1.27213916811404
"Alejandro G. Iñárritu",-0.0333196731777719,0.175527092606113,-0.653205567392737,-1.41791324324189
"Alejandro Monteverde",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Alessandro Carloni",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alex Craig Mann",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Álex de la Iglesia",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alex Garland",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alex Gibney",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Alex Kendrick",-0.00359433653421687,0.166542280663157,-0.627574758884685,-1.08004976484073
"Alex Proyas",0.0985452668710637,0.783249291621213,0.538532603762059,0.391006829289788
"Alex Rivera",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Alex Smith",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alex Zamm",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Alexander Payne",-0.0333196731777719,0.175527092606113,-0.653205567392737,-1.41791324324189
"Alexander Witt",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alexandre Aja",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alfonso Cuarón",-0.0779076781431046,0.189004310520546,-0.691651780154816,-1.92470846084364
"Alison Maclean",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Alister Grierson",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Allen Coulter",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Allen Hughes",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Amy Heckerling",0.052058187058569,1.44488036229405,1.57648592386854,0.172746031414472
"Anand Tucker",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"André Øvredal",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Andrés Muschietti",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Andrew Adamson",-0.0779076781431046,0.189004310520546,-0.691651780154816,-1.92470846084364
"Andrew Bergman",0.052058187058569,1.44488036229405,1.57648592386854,0.172746031414472
"Andrew Currie",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Andrew Davis",-0.00359433653421687,0.166542280663157,-0.627574758884685,-1.08004976484073
"Andrew Dominik",-2.12827842424823,-1.18605405320712,0.491344312587901,0.465200574710116
"Andrew Douglas",3.11023807366163,-3.77115898695381,2.51596764631997,-0.793033921234655
"Andrew Fleming",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Andrew Haigh",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Andrew Niccol",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Andrew Stanton",-0.00359433653421687,0.166542280663157,-0.627574758884685,-1.08004976484073
"Andrew Wilson",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Andrey Konchalovskiy",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Andrzej Bartkowiak",0.145032346683559,0.121618220948377,-0.499420716344422,0.609267627165104
"Andy Cadiff",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Andy Fickman",0.639233301179905,-0.527177980368654,0.00314401076631098,0.375550702431811
"Andy Garcia",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Andy Tennant",0.0707190050746708,0.144080250805767,-0.563497737614553,-0.23539106883781
"Ang Lee",0.0176380467826081,0.16012455784676,-0.60926703852179,-0.838718708839892
"Angela Robinson",0.052058187058569,1.44488036229405,1.57648592386854,0.172746031414472
"Angelina Jolie Pitt",0.052058187058569,1.44488036229405,1.57648592386854,0.172746031414472
"Angelo Pizzo",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Anna Boden",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Anna Muylaert",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Anne Fletcher",0.145032346683559,0.121618220948377,-0.499420716344422,0.609267627165104
"Anne Fontaine",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Anthony Bell",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Anthony Hemingway",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Anthony Minghella",-0.00359433653421687,0.166542280663157,-0.627574758884685,-1.08004976484073
"Anthony Powell",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Anthony Russo",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Antoine Fuqua",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Anton Corbijn",-1.37050816727097,-0.750163295155289,0.161089302943794,0.513222925528446
"Antonia Bird",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Antonio Banderas",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Antony Hoffman",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Ari Folman",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Ari Sandel",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Arie Posin",-4.40158919518002,-2.49372632736262,1.48210934152022,0.321133522255129
"Ariel Vromen",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Arthur Hiller",-0.0409159725664206,2.76814250363972,3.6523925640815,-0.26377556433616
"Asger Leth",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Asghar Farhadi",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Ash Brannon",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Atom Egoyan",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Audrey Wells",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Ava DuVernay",-0.300847702969768,0.256390400092715,-0.883882843965211,-4.45868454885238
"Babak Najafi",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Baltasar Kormákur",0.145032346683559,0.121618220948378,-0.499420716344422,0.609267627165104
"Barbet Schroeder",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Barbra Streisand",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Barry Cook",0.145032346683558,0.121618220948378,-0.499420716344422,0.609267627165104
"Barry Levinson",0.042810260664398,0.800095814014255,0.49047483780946,-0.242487192712398
